"file","category","model","issue","resolution","code_snippet"
"Re_ Re_ ROBOSTORE _ Customer Support Request.md","hardware","","客户请求拍摄机器人跌倒时的视频，并检查机器人在跌倒时是否仍然通电，以及使用 unitree-explore 应用连接并检查错误信息。","建议在机器人跌倒时记录其状态，包括是否通电，并使用 unitree-explore 应用程序连接以获取错误信息。",""
"Re_ Re_ ROS2 SDK on Onboard Computer.md","sdk","Go2 EDU","如何在Go2 EDU的Dock PC上使用ROS2 SDK。","可以下载类似于'no machine'的远程桌面应用程序。如果购买Go2 EDU及其Dock PC，ROS、no machine和unitreeROS SDK应该已经预装。可以使用no machine或ssh工具来操作终端。",""
"Re_ Re_ Reg_ Go2 Robot EDU(1).md","environment","Go2 EDU","客户询问如何配置 OPENVPN 环境并在扩展坞上设置隧道。","建议的过程与在 Raspberry Pi 板上配置类似，但没有提供具体的教程。",""
"Re_ Re_ Reg_ Go2_EDU upgrade issue.md","control","Go2 EDU","用户在升级 Go2_EDU 后遇到控制器绑定问题。","建议通过应用程序重新绑定控制器到机器人，参考提供的教程。","https://www.youtube.com/watch?v=lMw5uua3DQI"
"Re_ Re_ Reg_ Go2 Robot EDU.md","sdk","Go2 EDU","用户询问如何在 Go2 EDU 的扩展坞上安装软件和连接硬件。","扩展坞是一个独立的 Linux PC，可以安装任何软件并通过 USB 或网络端口连接任何硬件。只需设置 IP 并安装和配置 SDK 即可与机器人进行通信。",""
"Re_ Re_ Regarding Unitree G1 form_mode name(1).md","sdk","G1","用户询问关于 Unitree G1 的 form/mode 名称的问题。","如果您的版本大于 1.1.6，请参考相关页面并检查 Unitree Go 应用中的服务主题，或使用 WiFi 模式进行 OTA 更新到最新版本。如果版本小于 1.1.6，请参考另一个链接。建议将设备更新到最新版本，无需担心 AI、普通或高级模式的区别。","https://support.unitree.com/home/en/developer/Motion_Services_Interface_V2.0 https://support.unitree.com/home/en/developer/Motion%20Switcher%20Service%20Interface"
"Re_ Re_ Request for Access to Boxing Feature and Hardware Compatibility for G1(1).md","other","G1","请求访问 G1 的拳击功能和硬件兼容性。","确认已发货两台 G1，其中一台将进行 OTA 更新以启用拳击能力。",""
"Re_ Re_ Reg_ Go2_EDU upgrade issue(1).md","control","Go2 EDU","用户报告机器人无法站立，可能是因为未成功连接到应用程序。","建议用户拍摄机器人视频以便进一步诊断，并确认是否在 AP 模式或 Wi-Fi 模式下成功连接。",""
"Re_ Re_ Request for Documentation, Training, and Educational Support for Unitree G1 EDU.md","other","G1 EDU","客户请求有关 Unitree G1 EDU 的文档、培训和教育支持。","提供了一个 GitHub 链接，包含基于 VLA 的一些抓取和放置演示，认为这些演示会对客户有帮助。","https://github.com/unitreerobotics"
"Re_ Re_ Request for Assistance with Unitree Go App SDK and Functionality.md","sdk","Go2","The Scratch functionality in the Unitree Go App is quite limited, and exporting Scratch programs is not supported. Importing audio files is also not supported.","You can record audio in the Go interface and then use those recordings in Scratch. However, it is not recommended to use the Scratch programming module for large-scale projects due to its limitations.",""
"Re_ Re_ Requesting help with setting up Robosense 3D lidar with Go1(1).md","sensor","Go1","用户在设置 Robosense 3D LiDAR 时遇到问题，需要更改雷达的 IP 地址。","建议用户首先查看雷达的用户手册，使用雷达制造商提供的工具在 Windows 系统下更改雷达的 IP 地址。同时，确保能够与 Go1 进行良好的通信，可以尝试 ping 测试。","ping <IP>"
"Re_ Re_ Robot Heating Up(1).md","control","","The robot is heating up, and the error message in the SDK is not accurate.","Set the robot to damping mode to address the heating issue.",""
"Re_ Re_ Requesting SDK.md","sdk","G1","请求获取 SDK。","提供了 Python SDK 的安装指南和 G1 示例代码的链接。","https://github.com/unitreerobotics/unitree_sdk2_python https://github.com/unitreerobotics/unitree_sdk2_python/tree/master/example/g1/high_level"
"Re_ Re_ Requesting help with setting up Robosense 3D lidar with Go1.md","environment","Go1","客户询问如何设置 Robosense 3D LiDAR 与 Go1 机器人连接。","不建议使用 LAN 分 splitter 连接 Go1、笔记本和 LiDAR，因为会导致 IP 冲突。建议使用 USB-C 转 RJ45 连接 LiDAR。同时，请确保将 LiDAR 设置在 192.168.123.xxx 的子网下。","请确保 LiDAR 设置在 192.168.123.xxx"
"Re_ Re_ Robot Dog Assistance.md","sensor","","用户在初始使用时需要对机器人的传感器进行校准，以获得准确的控制。","建议用户参考我们的 YouTube 教程进行传感器校准。","https://www.youtube.com/watch?v=OZISUvNR4cE"
"Re_ Re_ Robot Heating Up.md","hardware","","The robot is experiencing overheating issues, especially when additional payloads like a robotic arm are added.","Additional payload increases the risk of overheating. Monitor motor temperature using the SDK interface.","https://support.unitree.com/home/en/developer/Basic_services"
"Re_ Re_ SSH Username and Password for H1 EDU(1).md","environment","H1 EDU","The built-in WiFi adapters are only used for OTA applications and do not support general connectivity.","To connect and develop with the H1 EDU, an additional WiFi adapter needs to be purchased.",""
"Re_ Re_ SSH Username and Password for H1 EDU(1).md","environment","Go2 EDU","The built-in WiFi adapters are only used for OTA applications and do not support general connectivity.","To connect and develop with the Go2 EDU, an additional WiFi adapter needs to be purchased.",""
"Re_ Re_ Robot arrived + questions.md","sdk","G1","用户询问如何通过 SSH 连接到机器人，并询问机器人模块类型。","建议用户使用 SSH 连接到机器人，使用命令 'ssh unitree@192.168.164'，并提供了可能的密码选项。还建议用户从应用程序中绑定控制器，并查看应用程序指南视频以获取更多信息。","ssh unitree@192.168.164 密码: 123 或 Unitree0408"
"Re_ Re_ SSH Username and Password for H1 EDU(4).md","environment","H1 EDU","需要一个外部Wifi适配器以使对接PC连接到互联网。","建议使用外部Wifi适配器来确保对接PC能够连接到互联网。",""
"Re_ Re_ SSH Username and Password for H1 EDU(3).md","sdk","H1 EDU","客户询问关于 H1 EDU 的 SSH 用户名和密码。","官方建议 SDK 支持 Ubuntu 20.04，因此不推荐更新系统。",""
"Re_ Re_ SSH Username and Password for H1 EDU(7).md","control","H1 EDU","Clarification on the diagnosis mode and damping mode of the H1 robot's control architecture.","The diagnosis mode includes three specific actions used to observe the robot's normal operation and operates in low-level control mode, which is not connected to the motion control system. The damping mode allows the robot to enter a damping state and transition to high-level control mode for activities like walking or dancing.",""
"Re_ Re_ SSH Username and Password for H1 EDU(5).md","control","H1 EDU","如何设置H1 EDU机器人的电机模式以控制不同类型的电机。","对于H1机器人，髋关节、膝关节和腰关节的电机模式应设置为0x0A（阻尼或刹车模式），而上肢和踝关节的电机模式应设置为0x01（永磁同步电机模式）。","low_cmd.motor_cmd()[i].mode() = (0x0A); //when you gotta control big motor low_cmd.motor_cmd()[i].mode() = (0x01);// for the small motor"
"Re_ Re_ Subject_ Re_ Connection Issues with Unitree Go2 Docking Station(1).md","other","Go2","用户在连接 Unitree Go2 Docking Station 时遇到问题，误解了某些操作步骤。","按照提供的教程重启开发板系统，并检查系统备份和恢复选项。","https://support.unitree.com/home/zh/developer/module_update check ""system backup and recovery"""
"Re_ Re_ Subject_ Re_ Long Endurance Battery for Go2(1).md","hardware","Go2","There seems to be an issue with the connection board between the battery and the robot, indicated by heating and sudden power drop.","The battery engineer suggests that if replacing the battery doesn't resolve the issue, the small circuit board may need to be replaced. A replacement extended battery and a new connection board will be sent.",""
"Re_ Re_ Subject_ Re_ Long Endurance Battery for Go2.md","hardware","Go2","用户报告了电池和相机对焦问题。","对于电池问题，请彻底清洁电池引脚和插座，并确保在安装电池时将其牢固推入机器人，直到锁定到位。对于相机对焦问题，请提供一段视频以展示对焦问题，确认后将发送新的相机模块。",""
"Re_ Re_ Support assistance required(1).md","environment","","The Simcard inside the dog cannot provide internet for docking station.","Check the SIM card configuration and ensure it is activated for data services. If the issue persists, consider replacing the SIM card or contacting the service provider for assistance.",""
"Re_ Re_ Support for G1.md","hardware","G1","The waving hands problem requires replacement of parts on the arm.","To resolve the waving hands issue, the parts on the arm need to be replaced. Additionally, for the waist signal wires issue, the solution involves replacing half of the body.",""
"Re_ Re_ Support for Vayu Robotics USA(3).md","environment","H1","The customer is experiencing issues with the network interface and is requesting more details, including a video to illustrate the problem. They suspect it may be related to interference from the network cable.","The customer should double-check the network cable for any potential interference issues. If possible, provide a video demonstrating the problem for further analysis.",""
"Re_ Re_ Technical Request_ Wrist Camera implementation for G1 EDU(1).md","sdk","G1 EDU","请求关于 G1 EDU 的腕部相机实现的技术支持。","在提供的链接中可以找到所需的信息。","https://github.com/unitreerobotics/xr_teleoperate/blob/main/Device.md"
"Re_ Re_ Support for Vayu Robotics USA(7).md","control","H1","如何连接H1的PC1和PC2以进行运动控制。","建议将您的PC连接到AGX接口，AGX通过8+2线连接到H1的交换机端口。这样，您的PC可以通过AGX与PC1和PC2进行通信。请确保AGX连接到交换机端口，而不是直接连接到PC1或PC2。","连接方式: PC -> AGX -> H1的交换机端口 注意: 不要直接连接到PC1或PC2"
"Re_ Re_ Technical support.md","control","","客户担心在进行低级控制时可能会损坏机器，询问关于 'EKF' 的问题。","建议在模拟环境中进行低级控制以避免损坏机器，并建议参考文档中心以获取更多信息。","https://github.com/unitreerobotics/unitree_mujoco https://support.unitree.com/home/en/developer/Basic_services"
"Re_ Re_ Tracking Number - Unitree Robotics.md","hardware","G1","用户遇到错误，需要确认使用的电池型号。","确保使用 G1 电池，电压应为 58 伏，而不是 28 或 33.6 伏。",""
"Re_ Re_ Support with LiDAR L1.md","environment","L1 LiDAR","用户在使用 LiDAR L1 的 SDK 时遇到环境兼容性问题，特别是在 Ubuntu 24.04 上。","建议使用 Ubuntu 20.04，因为该版本已被证明在使用 LiDAR SDK 时稳定工作。对于 Ubuntu 24.04 的环境兼容性问题，建议用户逐步进行故障排除。",""
"Re_ Re_ Support for Vayu Robotics USA(5).md","hardware","null","询问AGX扩展模块的电气接口是否如图所示。","AGX扩展模块集成了多种高速接口，包括PCIe、USB和千兆以太网，确保与各种传感器、相机和外部设备的无缝连接。",""
"Re_ Re_ Support for Vayu Robotics USA(5).md","hardware","null","询问两个AGX Orin是否内部连接。","AGX扩展模块可以容纳最多两个Jetson AGX Orin开发套件，这些套件通过载板和相关接口连接，可以无缝协同工作。",""
"Re_ Re_ Support for Vayu Robotics USA(5).md","environment","null","询问连接用户PC进行开发的最佳端口。","可以使用任一AGX Orin上的以太网或USB端口进行开发。为了更好的网络稳定性，建议连接H1上的一个交换机端口，该端口为多个设备提供统一的网络接口。",""
"Re_ Re_ Tracking Remote not working.md","hardware","","The remote control is not working, possibly due to a drained and damaged battery.","The quick solution is to unscrew the plastic cover and replace the battery yourself. Additionally, since the device is still under warranty, a replacement part will be sent.",""
"Re_ Re_ Unitree Edu G1 Support(1).md","hardware","L1 LiDAR","客户询问如何安装 L1 LiDAR 部件。","需要卸下头部的四个螺丝，之后可以找到 LiDAR 连接器。",""
"Re_ Re_ Unitree Edu G1 Support(8).md","sdk","G1","如何安装 unitree sdk2_python，以及固件升级或降级对 Jetson Nano 通信的影响。","提供了 unitree sdk2_python 的安装教程链接，并说明固件的升级或降级不会影响通信，只需将 Nx IP 设置为 192.168.123.xxx 并正确配置 SDK。","https://support.unitree.com/home/en/developer/Python"
"Re_ Re_ Unitree Edu G1 Support(5).md","hardware","G1","客户询问是否可以更换 G1 EDU 的核心 PC。","核心 PC (PC1) 不对客户开放，无法更换。客户只能更换 NX 开发板，核心 PC 的更换不会影响 G1 内部的 PC1。",""
"Re_ Re_ Unitree Edu G1 Support.md","hardware","G1","The robot's head was bent and lowered, and there is noise coming from the rotating motor inside the radar. Uncertainty about whether the radar is damaged.","You can use your hands to turn the head back to its original position. Note that the radar is not produced by Unitree, but is called MID-360.",""
"Re_ Re_ Unitree G1 Robot - Right Arm Joint Malfunction Report(1).md","hardware","G1","Right arm joint malfunction due to a factory defect.","Provide a screenshot of the motor overheating or record a video of it. Fill out the form to receive repair parts.",""
"Re_ Re_ Unitree Edu G1 Support(9).md","sdk","G1","用户询问如何通过 SDK 获取机器人信息。","无法通过 SDK 获取相关信息。用户可以通过纸质标签获取序列号，并且需要下载应用程序连接机器人以检查或进行固件 OTA 更新。",""
"Re_ Re_ Unitree Edu G1 Support(7).md","sdk","G1","在 G1 机器人中，有两台 PC，分别是核心 PC (PC1) 和 NX。NX 是一个正常的 Ubuntu 系统，已安装 unitree-sdk，并通过 SDK (DDS) 与 PC1 通信并发送命令。","确保 NX 上的 unitree-sdk 正确安装，并且能够通过 DDS 协议与 PC1 进行通信。可以在普通 PC（如 Raspberry Pi）上进行相同的操作。",""
"Re_ Re_ Unitree G1 Questions.md","sdk","G1","客户询问关于在 Ubuntu 22.04 上控制 Unitree G1 机器人的可行性。","目前没有计划支持 Ubuntu 22.04，但可以通过非官方方式在该系统上控制 Unitree 机器人，需投入额外时间进行相关工作。同时，确保 G1 机器人已更新到最新版本，可以通过 unitree-explore 应用检查 WiFi 模式。",""
"Re_ Re_ Unitree G1 Robot - Right Arm Joint Malfunction Report.md","hardware","G1","The right arm joint of the Unitree G1 robot is malfunctioning, specifically during a waving motion.","The waving motion is only suitable for plastic hands. The Dex3 robot hand is too heavy for this motion, which causes the motor to overheat.",""
"Re_ Re_ Unitree G1 – Jetson Orin NX Recovery_Flash Access Needed.md","other","G1","需要恢复/闪存访问 Jetson Orin NX 的方法。","下载系统映像到 SSD，使用 NVME 读卡器，然后将 SSD 放回 G1 的 PC2。","https://support.unitree.com/home/en/G1_developer/FAQ"
"Re_ Re_ Unitree G1 ankle rod repair request(1).md","hardware","G1","Request for repair of the left calf assembly of the G1 robot.","A replacement left calf assembly will be sent. A video link for replacing the calf assembly is provided.","https://drive.google.com/file/d/1E_5-4ueywxaHGplKkTKa82rybhvw6bLq/view?usp=drive_link"
"Re_ Re_ Unitree Go2 EDU walking with Payload issue.md","control","Go2 EDU","The payload will affect the physical model of the robot.","If you're using the Unitree default controller, you can adjust the payload parameters in the Unitree Go app. If you're training your own model, please modify the URDF accordingly.",""
"Re_ Re_ Unitree Go2 connection issue with WSL(1).md","sdk","Go2","用户询问如何访问Go2机器人的视频流和ROS2主题信息。","请参考我们的官方文档，其中包含有关如何访问预安装摄像头视频流的示例。此外，关于ROS2的使用示例也在文档中提供。对于每个ROS主题的详细信息，目前没有具体的文档可用，但可以参考SDK中的代码和示例程序，这些程序包含注释和说明以帮助理解使用方法。","https://support.unitree.com/home/zh/developer/Multimedia_Services Unitree ROS2 Service Documentation"
"Re_ Re_ Unitree Go2 Pro Battery Issue.md","hardware","Go2 Pro","客户报告了 Go2 Pro 的电池问题，技术支持请求客户提供视频以便更好地诊断问题。","请求客户移除电池，按下电池上的按钮，并观察 LED 指示灯的颜色和闪烁模式，以便更准确地诊断问题。",""
"Re_ Re_ Unitree Robot official website consultation reply--Museum of Science, Boston(3).md","hardware","Go2","客户报告了 Go2 机器人的问题，建议检查腿部电缆连接。","如果电缆连接正常，可能是电机出现问题。将会发送一个腿部组件进行更换。",""
"Re_ Re_ Unitree Go2 eSim not working.md","other","Go2 EDU","The eSIM provided by Unitree is not connecting.","Check the Unitree Go app to confirm whether there is sufficient data balance. If you need to top up the eSIM data, please contact support for assistance. For custom development, you can use the EDU version’s expansion dock alongside the SDK, but detailed technical guidance for integrating your own eSIM functionality is not provided.",""
"Re_ Re_ Unitree Robot official website consultation reply--Museum of Science, Boston(5).md","hardware","","The issue seems to be related to the cable connecting the front right (FR) body motor to the front right (FR) thigh motor.","Switch the socket on the main board to interchange the FR and front left (FL) thigh motor connections. A replacement part including a whole FR leg with 3 motors will be sent for easier replacement.",""
"Re_ Re_ Unitree Robot official website consultation reply--Museum of Science, Boston.md","hardware","","机器人出现红色闪烁灯光，可能与电机状态有关。","请在应用程序中检查电机状态，并截图发送。路径为：Homepage->device->data->robot->motor status。如果机器人长时间不动（约30分钟），可能会导致电机过热。",""
"Re_ Re_ Unitree Robotics Cooperation.md","sdk","G1","用户需要快速开始使用 G1 机器人。","连接 G1 机器人与 Ubuntu PC，配置 IP 地址在 192.168.123.xxx 子网下，通过 SSH 连接，用户名为 unitree，密码为 123。","ssh unitree@<IP> password 123"
"Re_ Re_ Unitree Robotics Online Store enquiry reply(4).md","environment","","用户报告网络环境可能存在问题。","建议更换到另一种wifi，或者尝试使用移动热点提供的wifi。同时，请确保应用程序更新到最新版本。",""
"Re_ Re_ Unitree Robotics Online Store enquiry reply(3).md","hardware","G1","用户将 Go2 的电池（28.8V）放入 G1（58.8V），导致 G1 的主控板运行但电机不工作。","G1 的主控板在使用 Go2 的电池时不会损坏，但电机无法正常工作。建议用户提供机器人发生的具体情况，包括视频或照片。",""
"Re_ Re_ Unitree Robotics Online Store enquiry reply-SISU Cinema Robotics.md","control","","用户询问如何进行机器人校准。","进入键盘模式并按下 '=' 键进行校准。详细信息请参考我们的文档网站。",""
"Re_ Re_ Unitree Go2 connection issue with WSL(2).md","sensor","Go2","The email provides examples of ROS topics related to the robot's camera and sensors, which are essential for various tasks such as computer vision and navigation.","The examples include topics for publishing raw image data, sending velocity commands, providing odometry data, broadcasting coordinate transforms, and publishing IMU data. These topics are crucial for controlling the robot and processing sensor data.","/camera/image_raw Purpose: Publishes raw image data from the robot's camera. This is mainly used for computer vision tasks such as object detection, image processing, and visual navigation. Message Type: sensor_msgs/Image Message Content: Includes width, height, encoding type, step, and the actual image data array.  /cmd_vel Purpose: Sends velocity commands to control the robot's movement, including linear and angular velocities. Message Type: geometry_msgs/Twist Message Content: Contains linear velocity (x, y, z) and angular velocity (x, y, z).  /odom Purpose: Provides odometry data, including the robot's <ORDER_ID>, orientation, and velocity. This is crucial for navigation and path planning. Message Type: nav_msgs/Odometry Message Content: Includes <ORDER_ID> (with pose and orientation), velocity (linear and angular), and covariance matrices for pose and velocity.  /tf Purpose: Broadcasts coordinate transforms between different frames of reference on the robot. This helps in the localization and mapping tasks by providing a consistent frame of reference. Message Type: tf2_msgs/TFMessage Message Content: Contains an array of transform data, each including a timestamp, frame ID, child frame ID, translation, and rotation information.  /sportmodestate Purpose: Contains detailed motion state information of the robot, including <ORDER_ID>, velocity, IMU state, and foot <ORDER_ID> and velocity. Message Type: unitree_legged_msgs/SportmodeState Message Content: Includes timestamp, error code, IMU state, mode, <ORDER_ID>, velocity, and individual foot state information.  /imu Purpose: Publishes data from the Inertial Measurement Unit (IMU), including acceleration, angular velocity, and magnetic field data. Message Type: sensor_msgs/Imu Message Content: Contains linear acceleration, angular velocity, orientation (as a quaternion), and covariance matrices for each of these data types."
"Re_ Re_ Unitree Robotics Online Store enquiry reply.md","hardware","","需要更换相机，并确认电源板是否需要更换。","按照提供的链接进行相机更换。如果新电池工作正常，则无需更换电源板。","https://onedrive.live.com/?authkey=%21AKVasQNzFkMYjdA&cid=CDE1BA91EFBCF992&id=CDE1BA91EFBCF992%214791&parId=CDE1BA91EFBCF992%214787&o=OneUp"
"Re_ Re_ Unitree Robotics Online Store enquiry reply-SISU Cinema Robotics(1).md","hardware","","客户询问关于移除夹持器以安装自定义末端执行器的可行性。","可以安装自定义夹持器，但需要外部处理新夹持器的电源和通信线路。确保适当管理现有的电源和通信线路，必要时断开或绝缘以防止短路。",""
"Re_ Re_ Unitree Robotics official website consultation reply(2).md","environment","","需要先通过应用程序将机器人连接到WiFi。","在连接到WiFi后，可以从后台进行OTA（Over-The-Air）更新。",""
"Re_ Re_ Unitree g1 edu+(12).md","hardware","G1 EDU","The robot appears to have incorrect calibration, which could lead to serious damage.","Ensure proper calibration of the robot to prevent potential damage.",""
"Re_ Re_ Unitree g1 edu+(13).md","hardware","G1","The calibration process for the G1 EDU robot has resulted in avoidable damage, indicating that the provided calibration example was incorrect and could lead to further issues.","It is necessary to perform correct calibration before proceeding with repairs. Initially, the issue could have been resolved by simply replacing a forearm, but now proper calibration is required.",""
"Re_ Re_ Unitree g1 edu+(1).md","hardware","G1","客户报告了可能的短路问题，并要求取出电池并拍照内部标签。","建议客户立即取出电池，并拍照内部标签以便进一步分析。同时，警告客户不要再次通电。",""
"Re_ Re_ Unitree g1 edu+(19).md","control","G1","新手臂无法被控制，请提供视频以便检查。","请使用 iOS 设备进行操作。",""
"Re_ Re_ Unitree g1 edu+(3).md","hardware","G1 EDU","The customer suspects that there may be a short circuit in the wires of the robot arm's wrist part.","The customer is advised to check the wires in the wrist part, which are usually protected by electrical tape.",""
"Re_ Re_ Unitree g1 edu+(22).md","hardware","G1","The newest firmware for the G1 EDU robot includes special movement features and displays the camera image on the 'Go' button. However, the firmware upgrade cannot be completed due to an invisible bug, resulting in the upgrade being halted.","The upgrade process has been stopped due to the identified bug. Further investigation is needed to resolve the issue before attempting the upgrade again.",""
"Re_ Re_ Unitree g1 edu+(5).md","hardware","G1 EDU","The customer is experiencing an issue with the arm motor and is uncertain if it is related to a short circuit or a production defect.","The customer needs to identify the specific damaged part to determine the cause of the issue.",""
"Re_ Re_ Unitree g1 edu+(4).md","hardware","G1","The robot may have sustained damage during transportation, leading to a short circuit.","It is suggested to find photos of the robot upon receipt and contact the seller for compensation.",""
"Re_ Re_ Unitree g1 edu+(2).md","hardware","G1 EDU","客户提到可能由于电缆错误接触金属外壳导致短路，电压为58伏特。","建议检查应用程序中的电机状态以确认问题。","devie-robot-data-motor status."
"Re_ Re_ Unitree suport on Go2 leg issue..md","sdk","Go2","用户在使用 Go2 机器人时遇到腿部控制问题。","建议用户删除应用程序并重新安装，然后通过蓝牙重新配对机器人。","无"
"Re_ Re_ Unitree_Support.md","hardware","","The receiver module isn't easily accessible for direct interfacing or modification, and it does not support pairing with the label controller through AT commands.","For replacement or repair, it is recommended to use the official remote controller and receiver unit, which is located in the robot's head, for best compatibility and ease of installation.",""
"Re_ Re_ Unitree_aftersale_support(1).md","hardware","","The issue may not be with the battery itself, but rather with the communication between the battery and the robot's body, possibly due to a loose or faulty connection.","Fill out the after-sales service form to arrange for a new contact board for replacement, which should help restore proper communication and resolve the error.",""
"Re_ Re_ Unitree_aftersale_support(2).md","hardware","Go2","The issue is related to a communication cable connection problem between the battery and the unit, linked to a mismatch between the plastic housing of the battery and the body of some Go2 units produced earlier this year.","For most customers, the issue was resolved by replacing the battery. If the battery replacement does not solve the issue, a replacement power contact board will be sent to ensure proper communication.",""
"Re_ Re_ Unitree_aftersale_support.md","hardware","Go2","The robot model is not loading correctly.","Update the mobile app to the latest version and ensure the Go2 software is updated via OTA to the latest version. Additionally, check that the LiDAR switch is enabled correctly in the settings.","Go to the settings option at the top right corner of the screen and scroll down to activate the LiDAR setting."
"Re_ Re_ Urgent Reminder_ Update on Inquiry from 07_05_2023.md","other","Go2","客户询问如何访问 Go2 Robodog 的内置麦克风以添加新的语音命令。","建议连接外部麦克风和扬声器到 Go2 的扩展接口，并开发自己的 ROS 节点来处理语音命令。虽然有客户成功拦截数据流并黑客化内部麦克风和扬声器，但这种方法并不被官方支持。",""
"Re_ Re_ Wifi mode issue of Go2.md","environment","Go2","用户报告的 Wifi 模式问题似乎与 ROS 环境配置有关，而不是 Unitree 产品本身的问题。","建议用户检查其 ROS 设置，以确保配置正确。",""
"Re_ Re_ Wireless connection to GO2 robot.md","sdk","Go2","如何在Linux笔记本上运行ROS2代码以控制GO2机器人。","可以在Linux笔记本上运行ROS2代码来控制GO2机器人。","link https://support.unitree.com/home/en/developer/ROS2_service"
"Re_ Re_ Z1 Force Feedback data_.md","sdk","Z1","The low-level state (feedback) data acquisition method is not mentioned in the document.","The information is available in the GitHub repository. The provided library will be helpful for data acquisition.","https://github.com/unitreerobotics/z1_sdk/blob/master/include/unitree_arm_sdk/message/LowlevelState.h"
"Re_ Re_ Wifi mode issue of Go2(1).md","environment","Go2","The expansion dock on the UniTree Go2 does not have built-in Wi-Fi capability and requires an additional Wi-Fi adapter for internet access.","To connect the expansion dock to the internet, purchase a plug-and-play Wi-Fi adapter. The internal PC on the Go2 supports Wi-Fi for communication with the app and OTA updates but does not provide internet access to the expansion dock's PC.","Connect a display, mouse, and keyboard to the expansion dock using a USB-C hub to execute the ros2 topic list command directly on the dock's internal system."
"Re_ Re_ Z1 Red Light(2).md","hardware","Z1","The robotic arm is experiencing issues, possibly due to poor internal circuit contact.","Try using the keyboard mode to control the robotic arm and check if the same issue occurs. If the robotic arm is still under warranty, a replacement may be considered.",""
"Re_ Re_ Z1 Forces.md","sdk","null","询问如何读取 Z1 机器人的关节扭矩。","可以尝试使用 'LowlevelState' 来读取关节的扭矩。","https://github.com/unitreerobotics/z1_sdk/blob/master/examples_py/unitree_arm_interface.pyi"
"Re_ Re_ Z1 Red Light.md","hardware","Z1","用户在视频中未看到 Z1 手臂通过以太网线连接到 PC，但这是必需的。","确保 Z1 手臂通过以太网线连接到 PC，以满足操作要求。","https://support.unitree.com/home/en/Z1_developer/sdk_intro"
"Re_ Re_ Z1 Velocity Sensor Oscillation at High Speeds(2).md","sensor","Z1","Velocity sensor oscillation at high speeds may be affected by differences in the formula between old and new versions of the Z1 SDK.","Perform the same test as before to verify the issue. Additionally, provide another diagram for further analysis.",""
"Re_ Re_ Z1 Velocity Sensor Oscillation at High Speeds.md","control","Z1","The velocity sensor is oscillating at high speeds, and there are concerns about motor control parameters.","Confirm that there are no safety limit settings. Ensure that the motor control uses the low-level control SDK and that the 'kd' parameter is set correctly, as it should not be zero. Request more details on the control method and algorithm used.","Ensure proper values for motor kp and kd for controlling angle and velocity."
"Re_ Re_ [EXTERNAL] Re_ Go2 EDU – XT16 not reachable over Ethernet(8).md","environment","Go2 EDU","The XT16 LiDAR is not reachable over Ethernet.","Use network tools like Wireshark to scan the IP of the LiDAR to quickly diagnose its function.",""
"Re_ Re_ [EXTERNAL] Re_ Go2 EDU – XT16 not reachable over Ethernet(4).md","environment","Go2 EDU","The XT16 is not reachable over Ethernet.","First, connect the device using an Ethernet cable. If that works, you can then switch to using a Wi-Fi adapter instead of the cable.","https://support.unitree.com/home/zh/developer/Multimedia_Services"
"Re_ Re_ [EXTERNAL] Re_ Go2 EDU – XT16 not reachable over Ethernet(5).md","hardware","Go2 EDU","The lidar does not seem to be powered on, which complicates diagnosis. There are suspicions about a faulty power cord or an issue with the radar cable output port on the expansion dock.","Several options were provided: 1) Visit a local distributor to test with extra parts; 2) Send the broken lidar and cable to a colleague in San Francisco for inspection and repair; 3) Purchase a new lidar cable or request a replacement cable.",""
"Re_ Re_ [EXTERNAL] Re_ Go2 EDU – XT16 not reachable over Ethernet.md","hardware","Go2 EDU","The XT16 LiDAR is not reachable over Ethernet. The user is trying to determine if the LiDAR is functioning properly.","1. There is no host computer software available to check the LiDAR's status. 2. Check if the LiDAR powers on by taking a video with a phone's camera. 3. If the LiDAR powers on but cannot be scanned from Wireshark, it is likely damaged. Request testing videos to activate warranty service. 4. If the LiDAR does not power on, the power source may be broken, but the LiDAR itself could still be functional.",""
"Re_ Re_ [EXTERNAL] Re_ Re_ Batteries_.md","environment","","用户被建议不要使用手机应用通过 'wifi mode' 连接机器人，因为这会让机器人通过 wifi 连接到互联网。","建议用户避免使用手机应用进行 wifi 连接，以防止机器人意外连接到互联网。",""
"Re_ Re_ [EXTERNAL] Re_ Request for Guidance _ Connecting Ethernet Cable to Unitree G1 Humanoid Robot Head.md","hardware","G1","如何连接以太网电缆到 Unitree G1 人形机器人头部。","只需用手手动撕下颈部后面的橡胶，就可以找到接口。在这种情况下，您无需拆卸头部。",""
"Re_ Re_ [EXTERNAL] Re_ Request for Guidance _ Connecting Ethernet Cable to Unitree G1 Humanoid Robot Head(1).md","hardware","G1","如何将以太网电缆连接到 Unitree G1 人形机器人头部。","需要将以太网电缆连接到 G1 的颈部，可以移除橡胶部分，但不应移除金属部分，因为它提供了手部与机器人的以太网通信。","https://support.unitree.com/home/en/G1_developer/about_G1 https://drive.google.com/drive/folders/1e-Z4Gt4G7bQPrVNKiTRqX5UbaWAHucbc"
